model.dimensions.length,model.dimensions.width,model.dimensions.height,model.tank_volume,model.rotors.number,model.nozzles.number,model.swath_width.min,model.swath_width.max,experiment.weather.temperature.min,experiment.weather.temperature.max,experiment.weather.humidity.min,experiment.weather.humidity.max,experiment.weather.velocity.min,experiment.weather.velocity.max,experiment.params.height,experiment.params.flight_speed,experiment.params.spray_volume,plant.name_tea,plant.name_wheat,model.name_AGRAS T20,model.name_AGRAS T30,model.name_AGRAS T40,model.nozzles.type_LX8060SZ,model.nozzles.type_SX11001VS,model.nozzles.type_XR110015,model.water_pump.type_diaphragm pump,model.water_pump.type_magnetic drive impeller pump,model.water_pump.type_plunger pump,experiment.params.atomization_diameter_coarse,experiment.params.atomization_diameter_fine,experiment.params.atomization_diameter_medium,experiment.params.atomization_diameter_off,experiment.results.droplet_size.value
2.9,2.7,0.8,30,6,16,4,9,23.0,31.0,48.0,72.0,0.2,1.6,2.0,7.0,30.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,223.9
2.9,2.7,0.8,30,6,16,4,9,23.378,31.948,46.525,71.065,0.209,1.601,2.051,6.509,28.238,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,219.892
2.9,2.7,0.8,30,6,16,4,9,23.688,30.2,48.699,74.528,0.204,1.622,1.899,7.332,28.546,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,221.19
2.9,2.7,0.8,30,6,16,4,9,22.559,30.806,46.981,72.819,0.206,1.578,2.144,7.295,29.768,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,226.786
2.9,2.7,0.8,30,6,16,4,9,23.487,32.154,48.174,74.13,0.206,1.511,2.031,6.388,28.604,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,223.892
2.9,2.7,0.8,30,6,16,4,9,23.13,30.648,46.537,70.937,0.207,1.568,1.871,7.248,30.678,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,223.437
2.9,2.7,0.8,30,6,16,4,9,22.897,30.954,47.74,71.704,0.211,1.678,1.88,6.659,29.123,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,222.945
2.9,2.7,0.8,30,6,16,4,9,22.297,31.419,47.747,70.357,0.202,1.557,2.113,7.102,30.897,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,224.073
2.9,2.7,0.8,30,6,16,4,9,22.66,31.834,49.234,73.262,0.189,1.66,1.98,6.882,31.333,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,226.896
2.9,2.7,0.8,30,6,16,4,9,23.735,31.087,46.161,71.034,0.199,1.46,1.929,7.49,30.434,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,224.907
2.9,2.7,0.8,30,6,16,4,9,23.0,31.0,48.0,72.0,0.2,1.6,2.0,3.0,30.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,251.1
2.9,2.7,0.8,30,6,16,4,9,22.987,30.025,47.651,72.345,0.207,1.662,1.929,3.217,29.872,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,249.631
2.9,2.7,0.8,30,6,16,4,9,22.407,30.219,48.122,72.18,0.21,1.704,1.876,3.023,30.654,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,249.59
2.9,2.7,0.8,30,6,16,4,9,22.089,31.839,46.43,70.05,0.202,1.653,2.036,2.803,30.43,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,251.614
2.9,2.7,0.8,30,6,16,4,9,23.578,31.489,48.606,72.253,0.208,1.667,2.012,2.938,31.178,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,249.33
